language,glottocode,family,macroarea,iu,grouping,grammatical
Afar,afar1241,Afro-Asiatic,Africa,1,?,?
Goemai,goem1240,Afro-Asiatic,Africa,1,0,0
Nyam,nyam1285,Afro-Asiatic,Africa,,,
Tamasheq,tama1365,Afro-Asiatic,Africa,1,?,?
Wandala,wand1278,Afro-Asiatic,Africa,1,?,?
Mungbam,abar1238,Bantoid,Africa,1,0,1
Ncane-Mungong,ncan1245,Bantoid,Africa,1,?,1
Gyele,gyel1242,Bantu,Africa,,,
Ndebele,nort2795,Bantu,Africa,1,?,1
Pagibete,pagi1243,Bantu,Africa,1,?,?
Bambassi,bamb1262,Blue Nile Mao,Africa,1,?,0
Kaba,kaba1281,Central Sudanic,Africa,1,?,1
Ngiti,ngit1239,Central Sudanic,Africa,1,?,1
Sheko,shek1245,Dizoid,Africa,1,?,?
Tommo So Dogon,tomm1242,Dogon,Africa,1,0,0
Bafut,bafu1246,Grassfields,Africa,1,?,1
Bangime,bang1363,Isolate,Africa,1,?,?
Shabo,shab1252,Isolate,Africa,1,?,0
Krongo,kron1241,Kadugli-Krongo,Africa,1,?,?
Ts'ixa,tsix1234,Khoe-Kwadi,Africa,1,?,0
Uduk,uduk1239,Koman,Africa,1,?,0
Avatime,avat1244,Kwa Volta-Congo,Africa,1,?,1
Ewe,ewee1241,Kwa Volta-Congo,Africa,1,0,1
Fon,fonn1241,Kwa Volta-Congo,Africa,,,
Selee,sele1249,Kwa Volta-Congo,Africa,,,
Amkoe,hoaa1235,Kxa,Africa,1,?,0
Dagik,dagi1241,Narrow Talodi,Africa,1,?,?
Shilluk,shil1265,Nilotic,Africa,1,?,1
Central Kanuri,cent2050,Saharan,Africa,,,
Dazaga,daza1242,Saharan,Africa,1,?,1
Gamo,gamo1243,Ta-Ne-Omotic,Africa,,,
Zayse-Zergulla,zays1235,Ta-Ne-Omotic,Africa,1,0,0
N||ng-Danster !Ui,nuuu1241,Tuu,Africa,1,?,0
Chakali,chak1271,Volta-Congo,Africa,1,?,?
Eleme,elem1253,Volta-Congo,Africa,,,
Kam,kamm1249,Volta-Congo,Africa,,,
Nupe,nupe1254,Volta-Congo,Africa,1,?,1
Oko,okoe1238,Volta-Congo,Africa,,,
Samba Leko,samb1305,Volta-Congo,Africa,,,
Tigon Mbembe,tigo1236,Volta-Congo,Africa,,,
Yoruba,yoru1245,Volta-Congo,Africa,1,?,1
Mawng,maun1240,Iwaidjan,Australia,1,?,?
Burarra,bura1267,Maningrida,Australia,1,?,?
Wambayan,wamb1258,Mirndi,Australia,1,?,0
Bardi,bard1255,Nyulnyulan,Australia,1,?,1
Eastern Arrernte,east2379,Pama-Nyungan,Australia,1,?,?
Murrinhpatha,murr1258,Southern Daly,Australia,1,0,?
Kayardild,kaya1319,Tangkic,Australia,1,?,0
Ami,amii1238,Western Daly,Australia,1,0,?
Bulo Stieng,bulo1242,Austroasiatic,Eurasia,1,0,0
Central Khmer,cent1989,Austroasiatic,Eurasia,1,?,0
Ho,hooo1248,Austroasiatic,Eurasia,1,?,?
Laven,lave1248,Austroasiatic,Eurasia,,,
Mon,monn1252,Austroasiatic,Eurasia,,,
Mundari,mund1320,Austroasiatic,Eurasia,1,?,?
Pnar,pnar1238,Austroasiatic,Eurasia,1,?,0
Semelai,seme1247,Austroasiatic,Eurasia,1,?,0
Western Bru,west2397,Austroasiatic,Eurasia,,,
Bih,biha1246,Austronesian,Eurasia,1,0,0
Sri Lanka Malay,sril1245,Austronesian,Eurasia,,,
Western Xiangxi Miao,west2430,Hmong-Mien,Eurasia,1,?,?
English,stan1293,Indo-European,Eurasia,1,0,0
Kumzari,kumz1235,Indo-European,Eurasia,1,?,?
Polish,poli1260,Indo-European,Eurasia,1,0,0
Punjabi,panj1256,Indo-European,Eurasia,1,0,0
Miyako,miya1259,Japonic,Eurasia,1,0,0
Mangghuer,minh1238,Mongolic-Khitan,Eurasia,1,?,0
Santa Mongolian,dong1285,Mongolic-Khitan,Eurasia,1,?,?
Hinuq,hinu1240,Nakh-Dagestanian,Eurasia,1,0,0
A'ou,aoua1234,Tai-Kadai,Eurasia,1,?,0
Lachi,lach1248,Tai-Kadai,Eurasia,1,?,?
Lao,laoo1244,Tai-Kadai,Eurasia,1,?,0
Thai,thai1261,Tai-Kadai,Eurasia,1,?,0
Burmese,nucl1310,Trans-Himalayan,Eurasia,1,0,0
Darma,darm1243,Trans-Himalayan,Eurasia,1,?,?
Dongwang Tibetan,kham1282,Trans-Himalayan,Eurasia,,,
Duhumbi,chug1252,Trans-Himalayan,Eurasia,1,0,0
Dzongkha,dzon1239,Trans-Himalayan,Eurasia,1,0,0
Hakhun Tangsa,noct1238,Trans-Himalayan,Eurasia,1,?,1
Karbi,karb1241,Trans-Himalayan,Eurasia,1,?,0
Khatso,kats1235,Trans-Himalayan,Eurasia,1,0,0
Khroskyabs,guan1266,Trans-Himalayan,Eurasia,1,?,?
Lamkang,lamk1238,Trans-Himalayan,Eurasia,1,?,0
Mandarin Chinese,mand1415,Trans-Himalayan,Eurasia,1,?,0
Namuyi,namu1246,Trans-Himalayan,Eurasia,,,
Northern Qiang,nort2722,Trans-Himalayan,Eurasia,,,
Western Magar,west2418,Trans-Himalayan,Eurasia,1,?,?
Western Tamang,west2415,Trans-Himalayan,Eurasia,1,?,?
Yongning Na,yong1270,Trans-Himalayan,Eurasia,1,?,?
Turkish,nucl1301,Turkic,Eurasia,1,0,0
Ket,kett1243,Yeniseian,Eurasia,1,0,0
Pech,pech1241,Chibchan,North America,1,?,?
Jamaican Creole English,jama1262,Indo-European,North America,1,?,1
Atakapa,atak1252,Isolate,North America,1,?,?
Haida,nort2938,Isolate,North America,1,?,1?
Yuchi,yuch1247,Isolate,North America,1,?,?
Yucatec Maya,yuca1254,Mayan,North America,1,?,?
Highland Popoluca,high1276,Mixe-Zoque,North America,1,?,1
Creek,cree1270,Muskogean,North America,1,?,?
Zaniza Zapotec,zani1235,Otomanguean,North America,1,0,?
Lower Chehalis,lowe1427,Salishan,North America,1,?,?
Hidatsa,hida1246,Siouan,North America,1,?,1
Filomeno Mata Totonac,filo1235,Totonacan,North America,1,?,?
Cahuilla,cahu1264,Uto-Aztecan,North America,,,
Southeastern Tepehuan,sout2976,Uto-Aztecan,North America,1,?,0
Northern Yukian,yuki1243,Yuki-Wappo,North America,1,?,1
Aimele,aime1238,Aimele,Papunesia,1,?,1
Menya,meny1245,Angan,Papunesia,1,?,?
Ahamb,axam1237,Austronesian,Papunesia,1,?,1
Arta,arta1239,Austronesian,Papunesia,1,0,?
Batak Karo,bata1293,Austronesian,Papunesia,1,0,0
Belep,nyal1254,Austronesian,Papunesia,1,0,0
Blablanga,blab1237,Austronesian,Papunesia,1,0,0
Buru,buru1303,Austronesian,Papunesia,1,0,0
Daakaka,daka1243,Austronesian,Papunesia,1,1,0
Dhao,dhao1237,Austronesian,Papunesia,1,?,0
East Ambae,east2443,Austronesian,Papunesia,1,0,0
East Makian,east2440,Austronesian,Papunesia,1,0,0
East Uvean,wall1257,Austronesian,Papunesia,1,0,0
Gayo,gayo1244,Austronesian,Papunesia,1,0,0
Hano,hano1246,Austronesian,Papunesia,,,
Kambera,kamb1299,Austronesian,Papunesia,,,
Keo,keoo1238,Austronesian,Papunesia,1,0,0
Lamaholot,lama1277,Austronesian,Papunesia,,,
Lele,lele1270,Austronesian,Papunesia,,,
Lelepa,lele1267,Austronesian,Papunesia,,,
Ma'anyan,maan1238,Austronesian,Papunesia,1,?,?
Mafea,mafe1237,Austronesian,Papunesia,,,
Manam,mana1295,Austronesian,Papunesia,1,1,0
Nese,nese1235,Austronesian,Papunesia,,,
Paluai,balu1257,Austronesian,Papunesia,1,?,?
Puyuma,puyu1239,Austronesian,Papunesia,,,
Riuk Bekati',beka1241,Austronesian,Papunesia,,,
Rukai,ruka1240,Austronesian,Papunesia,,,
Saisiyat,sais1237,Austronesian,Papunesia,1,0,0
Selaru,sela1259,Austronesian,Papunesia,,,
Sundanese,sund1252,Austronesian,Papunesia,,,
Tahitian,tahi1242,Austronesian,Papunesia,1,?,?
Tajio,taji1246,Austronesian,Papunesia,,,
Tamambo,malo1243,Austronesian,Papunesia,,,
Teop,teop1238,Austronesian,Papunesia,,,
Tondano,tond1251,Austronesian,Papunesia,1,0,?
Tonga,tong1325,Austronesian,Papunesia,,,
Toqabaqita,toab1237,Austronesian,Papunesia,1,?,1
Tukang Besi,tuka1248,Austronesian,Papunesia,,,
Tuvalu,tuva1244,Austronesian,Papunesia,1,?,0
Vaeakau-Taumako,pile1238,Austronesian,Papunesia,1,?,0
Vatlongos,sout2859,Austronesian,Papunesia,,,
Vera'a,vera1241,Austronesian,Papunesia,,,
Waigeo,waig1244,Austronesian,Papunesia,,,
Waima'a,waim1252,Austronesian,Papunesia,1,1,0
West Coast Bajau,west2560,Austronesian,Papunesia,,,
West Subanon,west2557,Austronesian,Papunesia,1,0,0
West Uvean,west2516,Austronesian,Papunesia,,,
Wooi,woii1237,Austronesian,Papunesia,,,
Yabêm,yabe1254,Austronesian,Papunesia,,,
Yami,yami1254,Austronesian,Papunesia,,,
Momu-Fas,fass1245,Baibai-Fas,Papunesia,1,0,0
Mali,mali1284,Baining,Papunesia,1,?,0
Imonda,imon1245,Border,Papunesia,1,0,?
Meyah,meya1236,East Bird's Head,Papunesia,1,0,0
Konai,kona1242,East Strickland,Papunesia,1,?,?
Meriam,meri1244,Eastern Trans-Fly,Papunesia,1,0,?
Hatam,hata1243,Hatam-Mansim,Papunesia,1,?,0
Suabo,suab1238,Inanwatan,Papunesia,1,?,?
Abun,abun1252,Isolate,Papunesia,1,?,0
Anem,anem1249,Isolate,Papunesia,1,?,0
Duna,duna1248,Isolate,Papunesia,1,0,?
Kuot,kuot1243,Isolate,Papunesia,1,0,0
Lavukaleve,lavu1241,Isolate,Papunesia,1,0,1
Maybrat-Karon,maib1239,Isolate,Papunesia,1,0,1
Savosavo,savo1255,Isolate,Papunesia,1,0,1
Barai,nucl1630,Koiarian,Papunesia,1,1,0
Yimas,yima1243,Lower Sepik-Ramu,Papunesia,1,?,?
Doromu-Koki,doro1266,Manubaran,Papunesia,1,0,0
Iatmul,iatm1242,Ndu,Papunesia,1,?,0
Pagu,pagu1249,North Halmahera,Papunesia,,,
Tidore,tido1248,North Halmahera,Papunesia,1,0,0
Olo,oloo1241,Nuclear Torricelli,Papunesia,1,?,?
Huli,huli1244,Nuclear Trans New Guinea,Papunesia,,,
Kalam,kala1397,Nuclear Trans New Guinea,Papunesia,1,0,1
Korowai,koro1312,Nuclear Trans New Guinea,Papunesia,,,
Kulsab,fait1240,Nuclear Trans New Guinea,Papunesia,,,
Mian,mian1256,Nuclear Trans New Guinea,Papunesia,,,
Nungon,yaum1237,Nuclear Trans New Guinea,Papunesia,,,
Haruai,haru1245,Piawi,Papunesia,1,?,1
Dla,dera1245,Senagi,Papunesia,1,0,1
Alamblak,alam1246,Sepik,Papunesia,1,0,0
Mehek,mehe1243,Sepik,Papunesia,,,
I'saka,kris1246,Sko,Papunesia,1,0,0
Mapudungun,mapu1245,Araucanian,South America,1,?,1
Ashéninka Perené,ashe1272,Arawakan,South America,1,?,0
Baure,baur1253,Arawakan,South America,1,0,?
Tariana,tari1256,Arawakan,South America,1,0,0
Awa-Cuaiquer,awac1239,Barbacoan,South America,1,0,?
Saramaccan,sara1340,Indo-European,South America,1,?,1
Hup,hupd1244,Naduhup,South America,1,0,0
Sabanê,saba1268,Nambiquaran,South America,1,0,0
Apinayé,apin1244,Nuclear-Macro-Je,South America,1,0,?
Desano,desa1247,Tucanoan,South America,1,0,0
Karitiâna,kari1311,Tupian,South America,1,?,?
